BLM_KEY,GEO_STATE,DIST_RA,RA,SITE_ID,MINE_NAME,MILS_ID,CRIBMRDS,STATE_ID,PRI_COMDTY,USGS_QUAD,UTM_ZONE,NORTHING,EASTING,TOWNSHIP,RANGE,SECTION,SUBDIV,MERIDIAN,COUNTYCD,SURF_OWN,MIN_OWN,ELEVATION,Secondary Commodity,Site is in,Within mile(s) of,VIS_ROAD,VIS_TRAIL,VIS_POPUL,DIFFICULTY,ACCESS_LEN,ACCESS_WID,Road Log,ACCESS_AC,HUMAN_USE,HUMAN_DES,SITE_ACRES,GEN_SLOPE,FLOODPLAIN,REC_MINACT,MINACT_DES,NO_OP_ADIT,NO_CL_ADIT,NO_OP_INCL,NO_CL_INCL,NO_OP_SHFT,NO_CL_SHFT,NO_STOPES,NO_OTH_OP,OTH_TYPE,NO_TRENCH,TRENCH_LEN,NO_PROSP,NO_OP_DH,NO_PIT_G30,NO_PIT_L30,PT_HIGHWAL,WASDMP_L01,WASDMP01_5,WASDMP_G5,TAILS_L_01,TAILS_01_5,TAILS_G5,NO_HEAPS,NO_DREDGE,NO_PONDS,NO_DAMS,NO_MILLS,MILL_TYPE,NO_EXPLSV,EXPLSV_DES,EQUIP_MACH,HEADFRAMES,TREST_TRAM,POWERLINES,STRUCTURES,STRUCT_TYP,STRUCT_CON,STRUCT_LOK,HOMESITES,OTHER_FEAT,VEG_COND,REVEG_EVID,REVEG_DESC,ANIML_EVID,ANIML_PRES,ANIML_DES,STAIN_SOIL,STAIN_DESC,SULF_MIN,SULFMINTYP,TAILS,FLOW_H2O,FLOW_PH,FLOW_COND,FLOW_GPM,STAND_H2O,STAND_PH,STAND_COND,TAILS_H2O,TAILS_PH,TAILS_COND,TAILS_GPM,WASTE_H2O,WASTE_PH,WASTE_COND,WASTE_GPM,ORE_H2O,ORE_PH,ORE_COND,ORE_GPM,AJ_GRD_H2O,AJ_GRD_PH,AJ_GRD_CON,AJ_GRD_GPM,AJ_GRD_DIS,AJ_SUR_H2O,AJ_SUR_PH,AJ_SUR_CON,AJ_SUR_GPM,AJ_SUR_DIS,AM_SURFH2O,AM_SURF_PH,AM_SURFCON,AM_SURFGPM,AM_SURFDST,BM_SURFH2O,BM_SURF_PH,BM_SURFCON,BM_SURFGPM,BM_SURFDST,AQUA_LIFE,AQUA_LOC,AQUA_DESCR,H2O_BEDCLR,NO_SAMPLES,CHEM_PILES,ACID_ODOR,ASBESTOS,PETROCHEMS,DUMPSITES,POWER_SUBS,TRANSFORMS,BARREL_TNK,LEAKING,CONTENTS,UNDRG_STOR,STOR_DESCR,OTHER,BACKG_RAD,ADIT_RAD,ADIT_WL,SHAFT_RAD,SHAFT_WL,OTHER_RAD,OTHER_WL,RILLS,GULLIES,SHEETWASH,UNSTABL_RX,SLOPE_INST,WIND_EROS,MITIG_STAT,MIT_FENCED,MIT_SIGNS,HAZ_MITIG,OTHER_MIT,MIT_COND,SITE_IDTAG,TAG_LOCT,THREATNED,CULTURAL,HISTORIC,OTHERH,OTHERDES,DATE,MAX_PDOP,RCVR_TYPE,FILT_POS,STD_DEV,GPS_HEIGHT,FIPSCODE,LONGITUDE,LATITUDE,LASTUDDATE,LASTUDTIME,LASTUDUSER,QUADNAME,SITENAME,COUNTY,WATERSHED,CONGRDIST,ALIASES,DATEADDED,ADDEDBY,CREATED DATE,LAST UPDATE,EST COST,ACT COST,AUTHORITY,ENV ASSESSMENT,NOTICE INTENT,FINAL EIS,ON THE GROUND WORK,DATA C_ENVIR,DATE C_INTENT,DATE C_EIS,DATE C_GROUND,PRP SEA,PRP NAME,PRP NAME2,PRP NAME3,FUNDS CONTRIBUTED,FUNDS CONTRIBUTED1,FUNDS CONTRIBUTED2,FUNDS CONTRIBUTED3,Condition
CO016800009,CO,168,,9,Unknown,,,,650,,12,4494630,752990,7N,95,12,SESW,6,81,BLM,BLM,,,,,0,2,0,4WD,,,,,N,,0.7,0-10,NA,N,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,35,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,H,Y,SAGE,Y,Y,BURROWS,N,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,N,N,N,Y,Y,NONE,,,,,,N,,FALSE,FALSE,FALSE,FALSE,,,,,,,,08081,-108,40.56653788,,,,Maybell,,Moffat,Lower Yampa,03,,8/31/99,conversion,,,,,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,
CO016800010,CO,168,,10,White Star Prospect,,,,650,,12,4494350,753040,7N,95W,13,NENW,6,81,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,N,N,Y,N,N,Y,NONE,,,,,,N,,FALSE,FALSE,FALSE,FALSE,,,,,,,,08081,-108,40.56400349,,,,Maybell,,Moffat,Lower Yampa,03,,8/31/99,conversion,,,,,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,
CO016800014,CO,168,,14,Maybell Uranium Mine,,,,650,,13,4494546,248892,7N,94W,17,N1/2,6,81,BLM,BLM,,,,,1,0,0,4WD,,,,,N,,250,0-10,ADJ,N,,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1500,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,S,Y,SAGE,Y,Y,-,N,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,Y,N,Y,N,-,Y,,,,,Y,ON NORTH END OF,FALSE,FALSE,FALSE,FALSE,,,,,,,,08081,-107,40.56635484,,,,Lay,,Moffat,Lower Yampa,03,,8/31/99,conversion,,,,,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,
CO016800015,CO,168,,15,Sage Mine,,,,650,,,4495000,280000,7N,95W,24,,6,81,BLM,BLM,,,,,1,0,0,4WD,,,,,N,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,S,Y,SAGE,Y,Y,-,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,,,,,,,,08081,-185,40.57928945,,,,Lay,,Moffat,,,,8/31/99,conversion,,,,,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,
CO016800016,CO,168,,16,Sugar Loaf Mine,,,,650,,,4490814,251322,7N,94W,27,NW,6,81,BLM,BLM,,,,,1,0,0,HIKE,,,,,N,,0.2,11-35,NA,N,,0,0,0,0,0,0,0,1,OPEN CUT,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,WOODEN LOADOUT,0,0,0,0,H,Y,"GRASSES, SAGE",Y,Y,DEER & ANTELOPE,N,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,Y,N,N,N,N,NONE,,,,,,Y,ON LOADOUT,FALSE,FALSE,FALSE,FALSE,,,,,,,,08081,-185,40.53351009,,,,Lay,,Moffat,,,,8/31/99,conversion,,,,,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,
CO016800018,CO,168,,18,Unknown,,,,650,,13,4490603,252143,7N,94W,27,NE,27,81,BLM,BLM,,,,,1,0,0,HIKE,,,,,N,,0.2,11-35,NA,N,,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,H,Y,"SAGE, GRASSES",Y,,DROPPINGS & PRINTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,N,N,N,NONE,,,,,,N,,FALSE,FALSE,FALSE,FALSE,,,,,,,,08081,-107,40.53185745,,,,Lay,,Moffat,Lower Yampa,03,,8/31/99,conversion,,,,,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,
CO016800019,CO,168,,19,Unknown,,,,650,,13,4491248,251577,7N,94W,22,SE,6,81,BLM,BLM,,,,,1,0,0,HIKE,,,,,N,,0.2,11-35,NA,N,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,H,Y,"SAGE, GRASSES",Y,,DEER & ANTELOPE PRINTS,N,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,N,N,N,NONE,,,,,,N,,FALSE,FALSE,FALSE,FALSE,,,,,,,,08081,-107,40.53749137,,,,Lay,,Moffat,Lower Yampa,03,,8/31/99,conversion,,,,,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,
CO016800020,CO,168,,20,Unknown,,,,650,,13,4490965,251420,7N,94W,27,NW,6,81,BLM,BLM,,,,,1,0,0,HIKE,,,,,N,,0.2,11-35,NA,N,,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,H,Y,"GRASSES, SAGE",Y,,ANTELOPE PRINTS,N,,N,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,N,N,N,NONE,,,,,,Y,AT T3,FALSE,FALSE,FALSE,FALSE,,,,,,,,08081,-107,40.53489807,,,,Lay,,Moffat,Lower Yampa,03,,8/31/99,conversion,,,,,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,
CO016800021,CO,168,,21,Buffalo Head Mine,,,,650,,13,4490176,248291,7N,94W,21,SW,6,81,BLM,BLM,,,,,1,0,0,HIKE,,,,,N,,0.5,11-35,ADJ,N,,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,H,Y,"GRASSES, SAGE",Y,,ANTELOPE PRINTS,N,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,Y,N,N,N,NONE,,,,,,Y,,FALSE,FALSE,FALSE,FALSE,,,,,,,,08081,-107,40.52685549,,,,Lay,,Moffat,Lower Yampa,03,,8/31/99,conversion,,,,,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,
CO018800029,CO,188,,29,Brands Reservior,,,,650,,13,4515776,374137,,,,,,57,BLM,BLM,,,,,3,0,0,4WD,,,,,,,20,11-35,NA,,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,S,Y,"CEDARS, JUNIPERS, SA",,Y,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,N,Y,N,N,N,N,NONE,,,,,,N,,FALSE,FALSE,FALSE,FALSE,,2/8/94,,,,,,49057,-106,40.78607044,,16:23:37,,Lake John,,Weber,North Platte Headwaters,03,,8/31/99,conversion,,,,,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,
